Dataset,Model,Accuracy,Precision,Recall,F1,Train_s,Infer_ms_per_1k,Size_MB,Efficiency_E
SMS Spam,Logistic Regression,0.9677130044843049,0.9803395257940712,0.7740492170022372,0.8649700851455236,0.18153721633332984,0.03291373871450163,0.3009783426920573,26.78277809910338
SMS Spam,Linear SVM,0.9847533632286996,0.971322849213691,0.912751677852349,0.9411029676799231,0.16105190500000313,0.01913270433484117,0.3008524576822917,49.66395681416791
SMS Spam,Naive Bayes,0.9707025411061285,1.0,0.7807606263982102,0.8768171838989999,0.24610808966665823,0.033492236771301385,0.4561726252237956,26.620291504113073
SMS Spam,Random Forest,0.979372197309417,0.9973958333333334,0.8478747203579419,0.9164789425626626,1.9144026496666509,0.07383418026906519,5.8138424555460615,12.900679949900649
SMS Spam,XGBoost,0.971898355754858,0.9756506257711969,0.8098434004474274,0.8850261615634524,1.574584482666675,0.03641334708521637,0.37709681193033856,27.085702803064265
AG News,Logistic Regression,0.9025,0.9021555255201884,0.9025,0.9022208196307147,5.561023601666666,0.06472465591666794,1.3642590840657551,14.398314724420182
AG News,Linear SVM,0.8999166666666666,0.8997182568936865,0.8999166666666666,0.8997062889683859,2.303234853666652,0.06165977016666583,1.3641331990559895,16.231721466989573
AG News,Naive Bayes,0.9002500000000001,0.899772269428897,0.9002500000000001,0.8998932775419711,1.9006878686666748,0.046815779916660936,1.9745492935180664,19.669226759433073
AG News,Random Forest,0.8542500000000001,0.8538066219648152,0.8542500000000001,0.8536137524064783,29.651225558333334,0.10316148408332992,84.84286975860596,8.699925493802859
AG News,XGBoost,0.8269166666666666,0.8298473850167177,0.8269166666666666,0.8276326948279795,114.045037776,0.07180595450000737,1.5992883046468098,11.939441107584102
